Nama Karakter,MBTI,Umur,Tinggi (cm),Grup,Sub-Kelompok,Role / Kekuatan Utama,Kategori Tinggi,ID Karakter,HP,ATK,DEF,SPD,Crit Rate,MP,Win Rate,Potensi Damage,Faction,Total Stat,Role,Tanggal Lahir,Umur Akurat,Status Squad
Kiran Hayashi,ENFJ,22,165,Fantasy,The Diplomats,Fate Weave / Royal Advisor,Pendek,Kiran Hayashi [ENFJ],49.21,74.78,45.24,23.98,87.18%,274.47,59.80%,139.9732,Southern Isles,469.1498,Support,11/5/2002,22 Tahun,Tactician
Nami Eld,ESTJ,23,183,Modern,The Sentinels,Dominion Mark,Tinggi,Nami Eld [ESTJ],49.2,32.54,96.66,64.77,91.52%,345.33,55.46%,62.3206,Eastern Sunrise,589.9698,Balanced,10/16/2001,23 Tahun,Tactician
Lyanna Aldridge,ISTP,21,165,Modern,The Explorers,Absolute Command / General,Pendek,Lyanna Aldridge [ISTP],98.38,47.59,57.53,30.88,68.08%,258.35,74.42%,79.9893,Eastern Sunrise,494.155,Attacker,5/17/2003,21 Tahun,Ranger
Lyric Thorne,ESFP,22,183,Modern,The Explorers,Living Canvas / Cartographer,Tinggi,Lyric Thorne [ESFP],3.48,98.44,39.16,39.47,86.67%,121.65,56.83%,183.7579,Western Citadel,303.635,Balanced,10/10/2002,22 Tahun,Tanker
Owen Masaki,ENTP,22,165,Fantasy,The Analysts,Transmutation Aura / Alchemist,Pendek,Owen Masaki [ENTP],135.31,62.35,40.6,14.4,66.90%,80.24,42.87%,104.0622,Eastern Sunrise,333.9977,Support,9/28/2002,22 Tahun,Tanker
Caius Yamamoto,ENFJ,23,183,Fantasy,The Diplomats,Warbrand Arsenal,Tinggi,Caius Yamamoto [ENFJ],23.12,92.1,74.92,33.1,31.53%,343.71,44.97%,121.1391,Southern Isles,567.715,Attacker,3/15/2001,23 Tahun,Tactician
Yuna Nakamura,INTJ,22,168,Modern,The Analysts,Combat Escalation Law,Normal,Yuna Nakamura [INTJ],68.73,45.36,61.48,77.32,58.83%,85.81,79.29%,72.0453,Western Citadel,340.0812,Balanced,6/18/2002,22 Tahun,Tactician
Mika Crestwood,ESFJ,21,160,Modern,The Sentinels,Damage Reflection Lattice,Pendek,Mika Crestwood [ESFJ],28.32,69.01,28.83,76.77,18.70%,38.25,54.15%,81.9149,Southern Isles,241.9085,Support,11/25/2003,21 Tahun,Squad Inti
Yuna Declan,ISTJ,23,178,Modern,The Sentinels,Dominion Mark,Tinggi,Yuna Declan [ISTJ],30.08,50.69,6.12,85.5,17.47%,388.34,77.26%,59.5455,Northern Tundra,561.6773,Attacker,3/5/2001,23 Tahun,Tactician
Clara Drayton,ISTJ,21,160,Modern,The Sentinels,Combat Escalation Law,Pendek,Clara Drayton [ISTJ],13.51,10.44,5.87,11.25,98.41%,321.76,76.65%,20.714,Eastern Sunrise,364.5806,Balanced,9/10/2003,21 Tahun,Reguler
Airi Dunstan,INTP,23,167,Modern,The Analysts,Combat Escalation Law,Pendek,Airi Dunstan [INTP],144.28,86.99,48.83,98.52,55.55%,248.57,81.40%,135.3129,Eastern Sunrise,628.5595,Balanced,12/28/2001,23 Tahun,Tanker
Fumiko Kobayashi,ENTP,23,163,Fantasy,The Analysts,Fracture Surge,Pendek,Fumiko Kobayashi [ENTP],77.79,37.68,34.12,86.38,43.71%,292.05,64.16%,54.1499,Eastern Sunrise,529.0987,Balanced,1/8/2001,23 Tahun,Tactician
Caspian Montgomery,INFJ,23,167,Fantasy,The Diplomats,Transmutation Aura / Alchemist,Pendek,Caspian Montgomery [INFJ],97.1,40.29,82.3,29.56,35.68%,322.62,78.12%,54.6655,Southern Isles,573.008,Support,7/26/2001,23 Tahun,Ranger
Caspian Kato,ISTP,22,167,Fantasy,The Explorers,Heartstrike Overload,Pendek,Caspian Kato [ISTP],120.59,74.11,5.79,27.96,49.68%,338.04,74.30%,110.9278,Western Citadel,567.7298,Support,6/4/2002,22 Tahun,Squad Inti
Shaela Ironfield,ENFP,21,171,Modern,The Diplomats,Emotional Vectoring,Normal,Shaela Ironfield [ENFP],132.49,95.65,92.71,86.63,95.40%,285.22,48.74%,186.9001,Western Citadel,694.1414,Support,4/10/2003,21 Tahun,Reguler
Reika Kim,ESTJ,23,185,Fantasy,The Sentinels,Memory Palace / Librarian Assistant,Tinggi,Reika Kim [ESTJ],84.02,30.39,60.72,41.63,92.66%,384.45,69.17%,58.5494,Northern Tundra,602.8283,Support,12/21/2001,23 Tahun,Squad Inti
Taro Quill,ISTP,23,184,Modern,The Explorers,Combat Escalation Law,Tinggi,Taro Quill [ISTP],49.68,26.13,35.43,3.23,29.01%,261.03,46.53%,33.7103,Southern Isles,376.2554,Attacker,10/23/2001,23 Tahun,Reguler
Isadora Rossi,ESTP,21,162,Modern,The Explorers,Gravity Rend,Pendek,Isadora Rossi [ESTP],117.75,87.3,32.37,14.22,30.26%,170.58,52.20%,113.717,Southern Isles,423.0446,Balanced,4/22/2003,21 Tahun,Reguler
Caspian Hartley,ENFP,23,165,Fantasy,The Diplomats,Warbrand Arsenal,Pendek,Caspian Hartley [ENFP],75.28,19.1,19.02,39.27,26.39%,326.73,82.02%,24.1405,Eastern Sunrise,480.4841,Attacker,8/31/2001,23 Tahun,Reguler
Vessa Emberveil,ISTP,21,182,Modern,The Explorers,Heartstrike Overload,Tinggi,Vessa Emberveil [ISTP],80.28,82.42,96.41,44.05,28.01%,376.25,46.57%,105.5058,Eastern Sunrise,680.1558,Attacker,11/27/2003,21 Tahun,Tanker
Airi Saito,ENFP,21,184,Modern,The Diplomats,Emotional Vectoring,Tinggi,Airi Saito [ENFP],72.93,91.09,4.51,27.53,77.95%,46.11,81.16%,162.0947,Northern Tundra,243.7611,Balanced,12/17/2003,21 Tahun,Elite Spy
Aster Pelham,ENTP,22,185,Modern,The Analysts,Soulfire Manifestation,Tinggi,Aster Pelham [ENTP],137.52,4.54,21.53,10.12,20.47%,57.47,66.75%,5.4693,Southern Isles,232.0522,Support,6/14/2002,22 Tahun,Reguler
Aldric Dawnforge,ISFJ,21,170,Modern,The Sentinels,Memory Palace / Librarian Assistant,Normal,Aldric Dawnforge [ISFJ],144.96,65.61,65.59,15.75,81.21%,72.65,65.52%,118.8919,Northern Tundra,366.0273,Support,7/21/2003,21 Tahun,Squad Inti
Torin Moonshade,ESFJ,21,183,Modern,The Sentinels,Dominion Mark,Tinggi,Torin Moonshade [ESFJ],82.38,30.05,97.61,62.33,54.47%,165.84,48.91%,46.4182,Northern Tundra,439.2438,Balanced,12/10/2003,21 Tahun,Ranger
Orin Declan,INTP,21,166,Fantasy,The Analysts,Primal Sovereign / Engineer,Pendek,Orin Declan [INTP],130.61,45.2,98.23,7.25,50.05%,43.03,77.65%,67.8226,Western Citadel,325.597,Attacker,4/23/2003,21 Tahun,Ranger
Elise Quill,ISFJ,21,168,Modern,The Sentinels,Momentum Surge / Knight-Errant,Normal,Elise Quill [ISFJ],66.97,86.03,7.0,90.12,46.59%,114.45,77.79%,126.1114,Eastern Sunrise,365.8138,Balanced,5/5/2003,21 Tahun,Brawler
Ansel Sol,INTP,21,167,Modern,The Analysts,Zone of Order / City Watch Captain,Pendek,Ansel Sol [INTP],80.22,56.83,33.57,36.43,77.68%,191.14,46.12%,100.9755,Northern Tundra,399.428,Attacker,5/7/2003,21 Tahun,Tactician
Iris Hartley,INFP,21,182,Fantasy,The Diplomats,Elemental Mastery,Tinggi,Iris Hartley [INFP],128.96,36.39,53.39,60.57,80.17%,180.73,80.79%,65.5639,Northern Tundra,461.6496,Support,12/27/2003,21 Tahun,Brawler
Vale Yamamoto,ESTJ,23,184,Modern,The Sentinels,Warbrand Arsenal,Tinggi,Vale Yamamoto [ESTJ],62.13,63.26,8.84,40.38,19.30%,280.96,50.47%,75.4692,Western Citadel,456.2677,Support,2/11/2001,23 Tahun,Ranger
Dante Whitmore,ENFJ,23,166,Fantasy,The Diplomats,Triage Field / Field Medic,Pendek,Dante Whitmore [ENFJ],77.23,35.88,36.89,72.11,36.76%,350.15,47.79%,49.0695,Eastern Sunrise,573.1055,Support,8/30/2001,23 Tahun,Elite Spy
Lyric Ito,INTJ,23,173,Modern,The Analysts,Living Canvas / Cartographer,Normal,Lyric Ito [INTJ],6.97,33.92,23.13,26.05,20.29%,21.08,60.68%,40.8024,Eastern Sunrise,111.9597,Balanced,7/19/2001,23 Tahun,Tactician
Aldric Wiley,ESTP,23,174,Fantasy,The Explorers,Elemental Mastery,Normal,Aldric Wiley [ESTP],11.76,97.52,79.98,57.8,69.12%,393.57,67.56%,164.9258,Southern Isles,641.9968,Balanced,1/12/2001,23 Tahun,Tactician
Briar Lopez,ISTJ,23,171,Fantasy,The Sentinels,Elemental Mastery,Normal,Briar Lopez [ISTJ],11.08,46.57,47.51,96.68,82.94%,95.24,77.33%,85.1952,Northern Tundra,298.6827,Attacker,10/5/2001,23 Tahun,Brawler
Vale Dunmore,INTJ,22,184,Modern,The Analysts,Sensory Collapse Domain,Tinggi,Vale Dunmore [INTJ],123.91,62.41,35.49,22.94,57.24%,27.94,67.50%,98.1335,Eastern Sunrise,273.9374,Attacker,9/2/2002,22 Tahun,Tactician
Takeshi Strider,INTJ,21,182,Modern,The Analysts,Runic Deconstruction / Scholar,Tinggi,Takeshi Strider [INTJ],118.23,1.72,3.49,93.91,24.38%,306.63,69.91%,2.1393,Southern Isles,524.9229,Balanced,6/20/2003,21 Tahun,Tactician
Iris Dunstan,ESTP,21,178,Modern,The Explorers,Soulfire Manifestation,Tinggi,Iris Dunstan [ESTP],115.68,15.76,45.84,44.68,62.54%,121.78,48.19%,25.6163,Western Citadel,344.8473,Support,6/27/2003,21 Tahun,Tanker
Hugo Eld,ESTP,23,174,Fantasy,The Explorers,Moment moment of Truth / Oracle,Normal,Hugo Eld [ESTP],73.41,19.63,76.85,44.66,29.27%,156.69,69.70%,25.3757,Eastern Sunrise,372.2297,Balanced,9/29/2001,23 Tahun,Brawler
Mei Mirren,ENFJ,22,175,Modern,The Diplomats,Emotional Vectoring,Tinggi,Mei Mirren [ENFJ],1.14,6.69,97.21,27.59,98.49%,219.58,68.59%,13.279,Western Citadel,353.8808,Balanced,2/3/2002,22 Tahun,Brawler
Davan Calloway,ISTJ,21,163,Modern,The Sentinels,Combat Escalation Law,Pendek,Davan Calloway [ISTJ],13.38,30.51,84.2,10.17,38.24%,354.75,70.60%,42.177,Western Citadel,494.0984,Attacker,12/24/2003,21 Tahun,Ranger
Kotaro Eld,ISFP,23,172,Modern,The Explorers,Ruin Pulse Engine,Normal,Kotaro Eld [ISFP],103.38,53.13,13.56,87.74,93.67%,321.63,65.63%,102.8969,Northern Tundra,581.033,Support,2/8/2001,23 Tahun,Brawler
Aiko Nox,INFP,21,177,Fantasy,The Diplomats,Fracture Surge,Tinggi,Aiko Nox [INFP],24.79,1.89,37.75,73.31,54.73%,379.3,82.10%,2.9244,Northern Tundra,518.4083,Attacker,6/12/2003,21 Tahun,Tanker
Takeshi Vargas,INFJ,22,185,Fantasy,The Diplomats,Essence Severance,Tinggi,Takeshi Vargas [INFJ],148.1,16.02,3.02,83.8,80.96%,200.61,78.64%,28.9898,Eastern Sunrise,453.146,Attacker,10/26/2002,22 Tahun,Reguler
Aria Crestwood,ENTP,22,176,Fantasy,The Analysts,Fracture Surge,Tinggi,Aria Crestwood [ENTP],143.13,68.71,51.54,32.6,49.57%,225.88,80.54%,102.7695,Western Citadel,523.1611,Balanced,1/6/2002,22 Tahun,Elite Spy
Kiran Dunmore,INFP,21,182,Modern,The Diplomats,Soulfire Manifestation,Tinggi,Kiran Dunmore [INFP],9.95,71.59,71.83,24.14,37.06%,297.19,63.26%,98.1213,Eastern Sunrise,475.7032,Balanced,12/29/2003,21 Tahun,Squad Inti
Celeste Fitzgerald,ENFJ,21,172,Fantasy,The Diplomats,Gravity Rend,Normal,Celeste Fitzgerald [ENFJ],80.52,63.52,31.63,25.49,80.63%,320.73,54.25%,114.7362,Western Citadel,523.2388,Attacker,2/13/2003,21 Tahun,Ranger
Hugo Calloway,INFP,23,180,Fantasy,The Diplomats,Archive of Blades / Guild Archivist,Tinggi,Hugo Calloway [INFP],129.86,7.51,73.91,28.59,76.96%,140.94,66.84%,13.2897,Western Citadel,382.248,Attacker,12/18/2001,23 Tahun,Brawler
Miriam Declan,ISFP,22,168,Fantasy,The Explorers,Living Canvas / Cartographer,Normal,Miriam Declan [ISFP],99.47,12.99,12.64,25.61,62.79%,311.5,58.39%,21.1464,Western Citadel,463.4218,Attacker,4/16/2002,22 Tahun,Tanker
Dara Flint,ENFJ,21,175,Fantasy,The Diplomats,Moment moment of Truth / Oracle,Tinggi,Dara Flint [ENFJ],36.2,70.61,91.37,1.05,85.11%,395.59,83.75%,130.7062,Eastern Sunrise,596.5086,Support,9/6/2003,21 Tahun,Reguler
Theron Watanabe,ISTJ,21,180,Modern,The Sentinels,Transmutation Aura / Alchemist,Tinggi,Theron Watanabe [ISTJ],86.19,66.81,96.68,57.98,91.73%,347.04,70.14%,128.0948,Western Citadel,656.3187,Balanced,12/28/2003,21 Tahun,Reguler
Clara Hayashi,ESFJ,23,176,Fantasy,The Sentinels,Primal Sovereign / Engineer,Tinggi,Clara Hayashi [ESFJ],123.68,11.84,98.89,86.79,24.04%,395.84,73.78%,14.6863,Northern Tundra,718.0182,Support,6/1/2001,23 Tahun,Tactician
Briar Pelham,ISFJ,22,162,Modern,The Sentinels,Resonant Aria / Performer,Pendek,Briar Pelham [ISFJ],104.45,17.05,92.59,69.24,83.54%,160.8,62.34%,31.2936,Northern Tundra,445.5888,Balanced,1/18/2002,22 Tahun,Reguler
Takeshi Moonshade,ENFP,23,178,Fantasy,The Diplomats,Dominion Mark,Tinggi,Takeshi Moonshade [ENFP],69.76,85.33,6.06,21.6,14.10%,298.7,65.20%,97.3615,Southern Isles,482.243,Support,2/8/2001,23 Tahun,Elite Spy
Asher Suzuki,ISFP,23,163,Modern,The Explorers,Moment moment of Truth / Oracle,Pendek,Asher Suzuki [ISFP],16.57,24.29,1.2,60.81,38.27%,231.26,73.04%,33.5858,Southern Isles,335.2431,Attacker,11/18/2001,23 Tahun,Brawler
Finn Dunstan,ESTJ,22,169,Fantasy,The Sentinels,Gravity Rend,Normal,Finn Dunstan [ESTJ],74.04,38.9,81.71,1.91,84.73%,204.37,47.04%,71.86,Southern Isles,402.2477,Balanced,7/13/2002,22 Tahun,Reguler
Orin Swiftwind,ESFP,22,182,Modern,The Explorers,Essence Severance,Tinggi,Orin Swiftwind [ESFP],22.8,34.87,53.88,2.73,79.53%,329.4,74.77%,62.6021,Southern Isles,445.223,Support,8/31/2002,22 Tahun,Tanker
Elara Vance,INFJ,23,170,Fantasy,The Diplomats,Living Canvas / Cartographer,Normal,Elara Vance [INFJ],41.75,8.34,71.84,94.77,83.38%,201.48,78.37%,15.2939,Southern Isles,419.7975,Balanced,9/13/2001,23 Tahun,Reguler
Fable Whitmore,INFJ,23,178,Modern,The Diplomats,Sensory Collapse Domain,Tinggi,Fable Whitmore [INFJ],87.5,38.26,57.35,71.9,84.47%,157.06,72.43%,70.5782,Southern Isles,413.639,Support,12/15/2001,23 Tahun,Tactician
Rin Crowe,INTJ,21,183,Fantasy,The Analysts,Fracture Surge,Tinggi,Rin Crowe [INTJ],24.37,5.16,18.06,28.15,46.93%,279.06,63.33%,7.5816,Southern Isles,355.9026,Support,11/15/2003,21 Tahun,Ranger
Kaito Farell,ISFJ,21,176,Fantasy,The Sentinels,Transmutation Aura / Alchemist,Tinggi,Kaito Farell [ISFJ],47.97,88.72,65.0,44.99,14.57%,38.29,76.00%,101.6465,Eastern Sunrise,285.8757,Attacker,1/24/2003,21 Tahun,Brawler
Vale Ashvale,ENFJ,22,162,Fantasy,The Diplomats,Transmutation Aura / Alchemist,Pendek,Vale Ashvale [ENFJ],105.94,23.34,57.39,50.67,92.46%,333.55,56.41%,44.9202,Eastern Sunrise,572.3787,Attacker,4/15/2002,22 Tahun,Ranger
Maren Coldwater,ENTP,21,171,Modern,The Analysts,Momentum Surge / Knight-Errant,Normal,Maren Coldwater [ENTP],125.08,95.62,53.68,63.18,54.57%,91.63,78.08%,147.7998,Western Citadel,430.5165,Attacker,8/22/2003,21 Tahun,Tactician
Asher Aurelius,ISTP,21,183,Modern,The Explorers,Living Canvas / Cartographer,Tinggi,Asher Aurelius [ISTP],35.36,70.77,41.57,3.99,13.38%,164.7,49.01%,80.239,Western Citadel,317.0139,Support,9/11/2003,21 Tahun,Ranger
Naoki Fitzgerald,ENTP,22,183,Modern,The Analysts,Adaptive Mutation,Tinggi,Naoki Fitzgerald [ENTP],73.64,40.22,79.73,5.74,87.79%,297.91,41.34%,75.5291,Northern Tundra,498.5313,Attacker,6/11/2002,22 Tahun,Reguler
Rin Kato,ESFJ,21,172,Modern,The Sentinels,Fate Weave / Royal Advisor,Normal,Rin Kato [ESFJ],32.96,92.72,57.32,84.53,36.89%,24.44,51.00%,126.9244,Eastern Sunrise,292.8489,Attacker,3/20/2003,21 Tahun,Tanker
Caspian Flint,ISTP,22,163,Fantasy,The Explorers,Dimensional Phase Shifting,Pendek,Caspian Flint [ISTP],98.03,42.86,95.9,63.0,15.75%,48.37,51.08%,49.6105,Eastern Sunrise,348.8283,Balanced,7/4/2002,22 Tahun,Tactician
Nami Velmont,ISFP,21,176,Modern,The Explorers,Archive of Blades / Guild Archivist,Tinggi,Nami Velmont [ISFP],96.42,8.67,57.52,28.25,33.55%,333.82,66.43%,11.5788,Southern Isles,525.6798,Attacker,7/23/2003,21 Tahun,Tactician
Kenji Velmont,ENFJ,21,175,Fantasy,The Diplomats,Combat Escalation Law,Tinggi,Kenji Velmont [ENFJ],52.57,77.95,78.69,12.02,61.22%,250.07,63.97%,125.671,Western Citadel,472.5519,Balanced,4/11/2003,21 Tahun,Tactician
Theron Yamamoto,ESFP,23,182,Modern,The Explorers,Soulfire Manifestation,Tinggi,Theron Yamamoto [ESFP],67.8,17.48,75.29,72.08,21.19%,329.86,63.10%,21.184,Western Citadel,563.3529,Support,11/22/2001,23 Tahun,Elite Spy
Nora Nox,ENFP,21,176,Modern,The Diplomats,Zone of Order / City Watch Captain,Tinggi,Nora Nox [ENFP],108.27,95.58,97.14,41.83,91.95%,197.58,49.04%,183.4658,Western Citadel,541.8099,Balanced,10/3/2003,21 Tahun,Reguler
Ren Dunstan,ISTP,22,162,Fantasy,The Explorers,Zone of Order / City Watch Captain,Pendek,Ren Dunstan [ISTP],60.36,63.71,69.33,56.63,60.51%,46.8,50.52%,102.2609,Eastern Sunrise,297.9403,Balanced,3/18/2002,22 Tahun,Tactician
Finn Hargrove,ENFJ,22,183,Modern,The Diplomats,Dimensional Phase Shifting,Tinggi,Finn Hargrove [ENFJ],43.46,18.45,46.24,52.45,87.07%,346.55,72.47%,34.5144,Western Citadel,508.7454,Attacker,7/10/2002,22 Tahun,Tactician
Dante Hayashi,INTP,21,183,Fantasy,The Analysts,Absolute Command / General,Tinggi,Dante Hayashi [INTP],8.89,55.2,52.3,73.49,32.77%,356.82,81.83%,73.289,Eastern Sunrise,547.846,Balanced,3/5/2003,21 Tahun,Ranger
Haruto Coldwater,ESTP,21,179,Fantasy,The Explorers,Memory Palace / Librarian Assistant,Tinggi,Haruto Coldwater [ESTP],133.75,47.67,77.21,77.52,73.43%,208.29,54.24%,82.6741,Eastern Sunrise,545.7167,Support,1/26/2003,21 Tahun,Tanker
Kotaro Moonshade,ENTP,23,168,Modern,The Analysts,Verdant Wrath / Forest Herbalist,Normal,Kotaro Moonshade [ENTP],39.69,22.92,4.4,87.92,29.61%,225.72,51.28%,29.7066,Northern Tundra,381.4589,Support,6/18/2001,23 Tahun,Squad Inti
Caius Masaki,INFJ,21,176,Modern,The Diplomats,Moment moment of Truth / Oracle,Tinggi,Caius Masaki [INFJ],52.36,6.05,39.31,62.18,97.65%,147.97,80.69%,11.9578,Western Citadel,309.6534,Balanced,6/2/2003,21 Tahun,Brawler
Vessa Masaki,INTP,23,175,Modern,The Analysts,Transmutation Aura / Alchemist,Tinggi,Vessa Masaki [INTP],17.72,79.43,45.62,68.15,50.24%,206.76,52.71%,119.3356,Western Citadel,418.7095,Balanced,8/22/2001,23 Tahun,Elite Spy
Aster Kim,INTP,22,172,Modern,The Analysts,Fracture Surge,Normal,Aster Kim [INTP],111.81,59.49,62.28,19.52,93.74%,6.58,51.79%,115.2559,Southern Isles,261.1353,Attacker,6/19/2002,22 Tahun,Squad Inti
Elio Langley,ESTP,23,167,Fantasy,The Explorers,Soulfire Manifestation,Pendek,Elio Langley [ESTP],72.4,86.44,89.25,12.88,27.66%,211.54,75.74%,110.3493,Eastern Sunrise,473.544,Attacker,1/8/2001,23 Tahun,Squad Inti
Zara Masaki,ISFJ,21,165,Modern,The Sentinels,Zone of Order / City Watch Captain,Pendek,Zara Masaki [ISFJ],82.26,33.85,79.29,73.18,34.03%,122.02,63.40%,45.3692,Western Citadel,391.5743,Attacker,11/24/2003,21 Tahun,Reguler
Kenji Ito,ENTJ,22,183,Fantasy,The Analysts,Sensory Collapse Domain,Tinggi,Kenji Ito [ENTJ],81.03,66.77,85.05,14.95,91.43%,193.28,40.05%,127.8178,Southern Isles,442.3948,Attacker,4/5/2002,22 Tahun,Squad Inti
Draven Sinclair,ENTP,22,167,Fantasy,The Analysts,Dominion Mark,Pendek,Draven Sinclair [ENTP],142.89,89.92,21.59,67.11,39.76%,295.18,62.63%,125.6722,Western Citadel,617.7139,Support,10/17/2002,22 Tahun,Elite Spy
Orion Hartley,ENFJ,23,163,Modern,The Diplomats,Archive of Blades / Guild Archivist,Pendek,Orion Hartley [ENFJ],113.74,99.0,45.8,48.59,23.49%,388.3,60.05%,122.2551,Western Citadel,696.2654,Balanced,12/1/2001,23 Tahun,Tactician
Orion Ashby,INTP,22,172,Fantasy,The Analysts,Gravity Rend,Normal,Orion Ashby [INTP],43.57,60.54,47.08,48.91,69.94%,322.53,72.35%,102.8817,Eastern Sunrise,524.0529,Support,6/28/2002,22 Tahun,Ranger
Lyanna Okafor,INFP,23,164,Fantasy,The Diplomats,Combat Escalation Law,Pendek,Lyanna Okafor [INFP],50.59,87.73,67.96,87.9,23.53%,245.28,63.23%,108.3729,Southern Isles,540.3276,Support,12/17/2001,23 Tahun,Squad Inti
Talion Masaki,INFP,23,160,Fantasy,The Diplomats,Elemental Mastery,Pendek,Talion Masaki [INFP],131.52,41.73,71.16,3.57,75.17%,128.7,82.68%,73.0984,Eastern Sunrise,378.2585,Support,7/15/2001,23 Tahun,Reguler
Aria Holloway,ENFP,22,163,Modern,The Diplomats,Absolute Command / General,Pendek,Aria Holloway [ENFP],61.65,26.42,39.73,72.79,42.29%,77.73,64.49%,37.593,Southern Isles,279.3878,Attacker,8/11/2002,22 Tahun,Tactician
Orion Kobayashi,ESFJ,23,161,Fantasy,The Sentinels,Warbrand Arsenal,Pendek,Orion Kobayashi [ESFJ],71.58,76.38,8.55,50.98,47.93%,30.57,72.37%,112.9889,Southern Isles,239.263,Balanced,6/15/2001,23 Tahun,Tanker
Petra Steele,ISFP,22,167,Modern,The Explorers,Sensory Collapse Domain,Pendek,Petra Steele [ISFP],149.11,77.75,83.68,2.18,28.18%,344.21,48.42%,99.66,Southern Isles,657.696,Support,12/2/2002,22 Tahun,Reguler
Ansel Yoshida,INFP,21,182,Fantasy,The Diplomats,Verdant Wrath / Forest Herbalist,Tinggi,Ansel Yoshida [INFP],42.69,47.47,5.39,40.03,37.38%,333.24,78.34%,65.2143,Northern Tundra,469.9772,Support,8/25/2003,21 Tahun,Elite Spy
Hina Ironfield,ESTP,23,172,Modern,The Explorers,Memory Palace / Librarian Assistant,Normal,Hina Ironfield [ESTP],113.18,54.42,84.13,99.8,42.93%,235.48,40.84%,77.7825,Western Citadel,587.8477,Attacker,8/6/2001,23 Tahun,Elite Spy
Marcus Declan,INFJ,23,182,Modern,The Diplomats,Dimensional Phase Shifting,Tinggi,Marcus Declan [INFJ],100.99,61.79,30.7,13.13,78.46%,253.62,66.06%,110.2704,Western Citadel,461.6752,Balanced,9/25/2001,23 Tahun,Tactician
Felix Coldwater,INTP,23,180,Fantasy,The Analysts,Momentum Surge / Knight-Errant,Tinggi,Felix Coldwater [INTP],111.51,24.33,15.16,39.06,92.76%,334.71,56.53%,46.8985,Eastern Sunrise,526.2629,Support,2/15/2001,23 Tahun,Elite Spy
Leon Okafor,ISTJ,23,178,Fantasy,The Sentinels,Transmutation Aura / Alchemist,Tinggi,Leon Okafor [ISTJ],147.24,33.17,93.44,39.73,89.78%,390.61,57.77%,62.95,Eastern Sunrise,705.6655,Balanced,2/6/2001,23 Tahun,Tactician
Dara Okafor,INTJ,22,174,Modern,The Analysts,Momentum Surge / Knight-Errant,Normal,Dara Okafor [INTJ],131.1,9.27,22.13,72.3,22.65%,65.38,55.84%,11.3697,Eastern Sunrise,300.9649,Attacker,4/6/2002,22 Tahun,Ranger
Quinn Declan,ESFJ,21,163,Fantasy,The Sentinels,Elemental Mastery,Pendek,Quinn Declan [ESFJ],78.48,29.79,89.62,89.22,29.62%,218.55,50.77%,38.6138,Northern Tundra,506.4639,Balanced,10/25/2003,21 Tahun,Reguler
Haruto Aurelius,ISFP,21,172,Fantasy,The Explorers,Heartstrike Overload,Normal,Haruto Aurelius [ISFP],24.86,34.12,91.73,64.66,94.03%,356.71,48.23%,66.203,Northern Tundra,573.5026,Attacker,10/16/2003,21 Tahun,Squad Inti
Sakura Sato,INFJ,23,173,Fantasy,The Diplomats,Verdant Wrath / Forest Herbalist,Normal,Sakura Sato [INFJ],98.04,94.22,28.42,29.31,66.45%,197.15,67.57%,156.8292,Western Citadel,448.4802,Balanced,3/26/2001,23 Tahun,Tactician
Airi Yamamoto,INFJ,21,176,Fantasy,The Diplomats,Archive of Blades / Guild Archivist,Tinggi,Airi Yamamoto [INFJ],34.41,48.52,91.45,64.16,68.73%,198.6,81.13%,81.8678,Southern Isles,438.6386,Attacker,6/10/2003,21 Tahun,Reguler
Haruto Dunstan,ESTJ,23,173,Fantasy,The Sentinels,Damage Reflection Lattice,Normal,Haruto Dunstan [ESTJ],45.39,86.85,94.3,9.73,51.03%,384.19,81.86%,131.1696,Northern Tundra,621.7889,Balanced,12/27/2001,23 Tahun,Brawler
Riku Crestwood,INFJ,21,179,Fantasy,The Diplomats,Warbrand Arsenal,Tinggi,Riku Crestwood [INFJ],143.75,16.5,75.15,24.98,41.91%,24.35,49.64%,23.4152,Southern Isles,285.6455,Balanced,1/9/2003,21 Tahun,Ranger
Shun Hargrove,ESTP,21,170,Fantasy,The Explorers,Archive of Blades / Guild Archivist,Normal,Shun Hargrove [ESTP],55.76,87.48,8.52,42.8,56.81%,265.62,72.51%,137.1774,Western Citadel,461.4732,Attacker,6/24/2003,21 Tahun,Squad Inti
Dante Nox,ESFP,21,174,Fantasy,The Explorers,Dominion Mark,Normal,Dante Nox [ESFP],77.28,30.97,54.48,27.49,42.70%,136.34,69.66%,44.1942,Eastern Sunrise,327.6836,Attacker,10/14/2003,21 Tahun,Squad Inti
Tomoe Drayton,INFJ,23,169,Modern,The Diplomats,Primal Sovereign / Engineer,Normal,Tomoe Drayton [INFJ],37.13,94.32,58.24,28.89,10.51%,112.38,56.80%,104.233,Northern Tundra,331.6331,Balanced,9/16/2001,23 Tahun,Ranger
Cael Greaves,ESFP,22,164,Fantasy,The Explorers,Combat Escalation Law,Pendek,Cael Greaves [ESFP],1.28,6.33,15.5,40.4,96.47%,50.34,42.91%,12.4366,Northern Tundra,115.2438,Balanced,4/15/2002,22 Tahun,Squad Inti
